id	batch	stratum	path	adv	ctx	ms	answer	outcome	pair	in_text	suggested	freq_text	freq_sugg	position	words	source_id	sentence
b001-001	batch-001	real	adjacent	23	2	8092	in-text	overruled	ס/ש	יספרו	ישפרו	70	43	4	7	firing-169533-4	אתה יודע יום אחד יספרו את הסיפור
b001-002	batch-001	real	adjacent	35	2	17718	in-text	overruled	ס/ש	מאסר	מאשר	90	118	14	18	firing-61713-14	כך שתסתכלו על הכל ותהיו צמודים למכשירי הקשר אם תמצאו משהוא תודיעו אני רוצה מאסר לא קרב יריות
b001-003	batch-001	real	adjacent	24	2	7574	in-text	overruled	ו/ב	וריאה	בריאה	30	90	2	15	firing-160916-2	לב כבד וריאה של כבשה טחונים עם חלב כליות בצלים ושיבולת שועל מורתחים בקיבת חיה
b001-004	batch-001	real	adjacent	34	2	12844	unclear	unclear	ט/ת	הביט	הבית	78	126	1	7	firing-53213-1	שזה הביט עליהם כמחלה מדבקת בכמה גלקסיות
b001-005	batch-001	real	adjacent	21	2	26903	unclear	unclear	כ/ק	לכבל	לקבל	49	130	5	9	firing-252013-5	אם אתה רוצה שאקח אותך לכבל אני רוצה הסבר
b001-006	batch-001	real	adjacent	25	2	9575	in-text	overruled	ב/ו	בהרבה	והרבה	98	89	2	5	firing-255541-2	ברייס בגד בהרבה אנשים נכון
b001-007	batch-001	real	adjacent	34	2	15589	unclear	unclear	ע/א	שועל	שואל	82	110	5	7	firing-88357-5	גרג אמר שזה לא היה שועל אמיתי
b001-008	batch-001	real	adjacent	25	2	7857	in-text	overruled	ש/ס	שקי	סקי	73	84	9	23	firing-221784-9	אבא ודאי לא שם לב שפרקתי ק ג של שקי קמח כי הוא עדיין לא יכול להרימם ולכן אין לאמא זמן לשבת ולקשקש
b001-009	batch-001	real	adjacent	26	2	18143	in-text	overruled	ש/ס	ישלחו	יסלחו	83	63	10	15	firing-192912-10	קח אותו לביה ח ואל תזכיר את הכתובת פה שלא ישלחו לי מפקחים של הממשלה
b001-010	batch-001	real	adjacent	98	2	2222	in-text	overruled	ש/ס	לשפר	לספר	91	127	2	7	firing-241004-2	מתערבת שאוכל לשפר לך את מצב הרוח
b001-011	batch-001	real	adjacent	63	2	3595	suggested	agreed	ע/א	יעבד	יאבד	33	79	8	18	firing-93321-8	אנדרו עבד עבורי במשך שנה אף אחד לא יעבד את מקום פרנסתו בטח שאין חשש בלבצע עידכונים כאלה
b001-012	batch-001	real	adjacent	25	2	4354	suggested	agreed	ו/ב	ושל	בשל	95	97	9	13	firing-222247-9	את אומרת שהנאשם גאיוס בולטאר הורה על הוצאתך להורג ושל עוד אזרחים אחרים
b001-013	batch-001	real	adjacent	70	2	4147	in-text	overruled	א/ע	אל	על	148	164	2	5	firing-109473-2	ומה בקשר אל הילדה הזאת
b001-014	batch-001	real	adjacent	22	2	2426	in-text	overruled	ע/א	עולם	אולם	108	96	3	6	firing-215203-3	הוא יראה לי עולם שלא הכרתי
b001-015	batch-001	real	adjacent	62	2	2868	suggested	agreed	ע/א	תביע	תביא	63	113	2	5	firing-121081-2	אולי היא תביע אותה אישית
b001-016	batch-001	injected	known			7754	suggested	control-pass	ס/ש	סל	של	80	162	7	16	injected-124860-7	אבי שלח את אונקס ואותי לביה ס סל הכומר וילוק בגיל כדי שנכיר את שני העולמות
b001-017	batch-001	real	adjacent	28	2	6642	unclear	unclear	כ/ח	לאכ	לאח	30	82	9	12	firing-503-9	תאמ ןמ ור יפל ב וח ול ו ש לאכ י מ
b001-018	batch-001	real	adjacent	21	2	10126	unclear	unclear	ו/ב	וקטע	בקטע	41	97	1	4	firing-24739-1	אהבה וקטע עם כלב
b001-019	batch-001	real	adjacent	25	2	5482	in-text	overruled	ו/ב	ותכנון	בתכנון	45	72	4	6	firing-223622-4	וליתר דיוק מחלקת הנדסה ותכנון ערים
b001-020	batch-001	injected	known			10811	suggested	control-pass	ע/א	עז	אז	85	155	1	11	injected-78141-1	או עז מה שג יי ראה שם אלה לא באמת שדיים
b001-021	batch-001	real	adjacent	35	2	5547	in-text	overruled	ו/ב	הקורים	הקברים	57	69	4	18	firing-182196-4	כשאין איפה לתלות את הקורים שלהם הם טווים את חוטי המשי על האדמה חול מסבך נותן תבואה יחדיו
b001-022	batch-001	injected	known			5105	suggested	control-pass	ע/א	רועה	רואה	74	135	2	21	injected-46278-2	כאן אתה רועה את העמים או סמלי העמים השונים מקבצים את ארבעת יסודות החיים המים האש האדמה והאוויר סביב ליסוד החמישי
b001-023	batch-001	real	adjacent	21	2	9155	in-text	overruled	כ/ח	לכם	לחם	132	97	7	11	firing-91722-7	משלם את החשבונות קונה ת אוכל שם לכם גג מעל הראש
b001-024	batch-001	real	adjacent	39	2	5247	in-text	overruled	ב/ו	לגבר	לגור	94	108	3	13	firing-254688-3	ג יין ראויה לגבר בו היא חושקת לא לזה שישלם מחיר גבוה יותר
b001-025	batch-001	real	adjacent	25	2	4982	in-text	overruled	ע/א	עפה	אפה	80	82	2	5	firing-124664-2	איך את עפה בלי כנפיים
b001-026	batch-001	injected	known			1918	suggested	control-pass	ע/א	עיפה	איפה	40	140	3	6	injected-2311-3	אלווה אותך הביתה עיפה את גרה
b001-027	batch-001	real	adjacent	45	2	10581	unclear	unclear	ב/ו	הבא	הוא	125	164	4	9	firing-178965-4	כן היום זה יום הבא לעבודה קרוב משפחה רחוק
b001-028	batch-001	real	adjacent	23	2	2893	in-text	overruled	ע/א	קורעת	קוראת	71	103	4	6	firing-10203-4	כי את יודעת שאני קורעת אותך
b001-029	batch-001	real	adjacent	28	2	4224	in-text	overruled	ע/א	עליך	אליך	128	124	4	8	firing-230436-4	קנדל אני חושב שעובר עליך עוד יום רע
b001-030	batch-001	real	adjacent	29	2	2630	in-text	overruled	ש/ס	משיט	מסיט	52	58	3	7	firing-201772-3	תראי איך הוא משיט את האונייה שלו
b001-031	batch-001	real	adjacent	104	2	4171	in-text	overruled	ב/ו	אב	או	101	150	2	10	firing-244832-2	אני רוצה אב שהוא אותו האיש גם בבוקר וגם בלילה
b001-032	batch-001	injected	known			1882	suggested	control-pass	א/ע	פאם	פעם	92	141	3	7	injected-44764-3	אף אחד אף פאם לא דאג לו
b001-033	batch-001	real	adjacent	26	2	4983	both-fine	both-fine	ס/ש	הסלט	השלט	75	90	2	4	firing-30211-2	בא במקום הסלט הזה
b001-034	batch-001	real	adjacent	37	2	4543	suggested	agreed	ע/א	עני	אני	88	177	2	6	firing-208249-2	או שתהיה עני בחוץ בחלק מהם
b001-035	batch-001	clean	none			3596	in-text	control-pass	א/ע	השאיר	השעיר	102	68	1	6	clean-47141-1	הוא השאיר את אמא שלי בצד
b001-036	batch-001	real	adjacent	25	2	13525	unclear	unclear	ע/א	לעזור	לאזור	133	92	3	8	firing-188436-3	היי תשאל אותו לעזור לא אנחנו נכנסים לצרות
b001-037	batch-001	clean	none			7408	in-text	control-pass	ו/ב	שהוא	שהבא	146	40	5	15	clean-38698-5	החוק אומר שהוא צריך לדעת שהוא מוצא להורג הוא חייב לדעת למה הוא מוצא להורג
b001-038	batch-001	real	adjacent	27	2	4272	unclear	unclear	א/ע	אין	עין	148	109	1	7	firing-124086-1	גבר אין ג נטלמן רוצה לדבר איתך
b001-039	batch-001	real	adjacent	47	2	3967	in-text	overruled	ב/ו	הבא	הוא	125	164	10	16	firing-248750-10	אם אני אתן למקסוול לצאת מזה אתה לא חושב שהבחור הבא ינסה לעשות את אותו הדבר
b001-040	batch-001	real	adjacent	24	2	3052	unclear	unclear	ח/כ	חל	כל	80	158	4	15	firing-554-4	חל מ ו ם חל לב קל ה ש קבב ם יק ז וקה ינפמ
b001-041	batch-001	real	adjacent	31	2	3944	in-text	overruled	ב/ו	בלהביס	ולהביס	31	49	4	8	firing-87474-4	יש משהו מאוד רומנטי בלהביס את הלא מתים
b001-042	batch-001	real	adjacent	28	2	4547	suggested	agreed	ע/א	עלון	אלון	69	75	10	12	firing-248984-10	היית צריך לראות כמה תשוקה הייתה בו כשהוא ראה את עלון הזין
b001-043	batch-001	real	adjacent	48	2	9782	in-text	overruled	ב/ו	עבד	עוד	111	143	8	12	firing-253375-8	עכשיו לאחר שהוא טעם בשר אדם הכלב יהיה עבד לתאוות הבשר שלו
b001-044	batch-001	real	adjacent	35	2	4054	in-text	overruled	ע/א	לקרוע	לקרוא	91	119	2	5	firing-53596-2	כולנו צריכים לקרוע ת תחת
